α	Cl	Cd	Cm 0.25	Cp*	M cr.	Elemento
[°]	[-]	[-]	[-]	[-]	[-]	[-]
-30,0	-4,466	1,34770	0,070	-86,885	0,087	Total
 	-4,151	1,33308	-0,1612	-	-	1
 	-0,306	0,01334	0,2005	-	-	2
 	-0,008	0,00128	0,0310	-	-	3
-29,8	-4,468	1,32045	0,070	-86,260	0,088	Total
 	-4,151	1,30585	-0,1618	-	-	1
 	-0,309	0,01331	0,2012	-	-	2
 	-0,008	0,00128	0,0311	-	-	3
-29,6	-4,471	1,31354	0,070	-85,636	0,088	Total
 	-4,151	1,29847	-0,1624	-	-	1
 	-0,312	0,01380	0,2019	-	-	2
 	-0,008	0,00128	0,0311	-	-	3
-29,4	-4,474	1,28738	0,059	-85,012	0,088	Total
 	-4,151	1,27254	-0,1631	-	-	1
 	-0,315	0,01376	0,2025	-	-	2
 	-0,008	0,00107	0,0190	-	-	3
-29,2	-4,476	1,28027	0,059	-84,388	0,089	Total
 	-4,150	1,26545	-0,1637	-	-	1
 	-0,318	0,01373	0,2032	-	-	2
 	-0,008	0,00109	0,0192	-	-	3
-29,0	-4,481	1,22360	0,059	-83,764	0,089	Total
 	-4,152	1,20881	-0,1642	-	-	1
 	-0,321	0,01369	0,2038	-	-	2
 	-0,009	0,00110	0,0194	-	-	3
-28,8	-4,483	1,19744	0,059	-83,140	0,089	Total
 	-4,151	1,18266	-0,1648	-	-	1
 	-0,323	0,01366	0,2045	-	-	2
 	-0,009	0,00111	0,0196	-	-	3
-28,6	-4,486	1,19096	0,059	-82,517	0,090	Total
 	-4,150	1,17621	-0,1654	-	-	1
 	-0,326	0,01362	0,2051	-	-	2
 	-0,009	0,00113	0,0197	-	-	3
-28,4	-4,488	1,16573	0,060	-81,894	0,090	Total
 	-4,150	1,15101	-0,1660	-	-	1
 	-0,329	0,01359	0,2058	-	-	2
 	-0,009	0,00113	0,0199	-	-	3
-28,2	-4,490	1,15974	0,060	-81,271	0,090	Total
 	-4,149	1,14479	-0,1665	-	-	1
 	-0,332	0,01380	0,2064	-	-	2
 	-0,010	0,00115	0,0201	-	-	3
-28,0	-4,493	1,13537	0,060	-80,649	0,091	Total
 	-4,148	1,12045	-0,1670	-	-	1
 	-0,335	0,01376	0,2071	-	-	2
 	-0,010	0,00117	0,0203	-	-	3
-27,8	-4,495	1,12931	0,061	-80,027	0,091	Total
 	-4,147	1,11441	-0,1676	-	-	1
 	-0,338	0,01372	0,2077	-	-	2
 	-0,010	0,00118	0,0204	-	-	3
-27,6	-4,497	1,12419	0,061	-79,405	0,091	Total
 	-4,145	1,10931	-0,1681	-	-	1
 	-0,341	0,01368	0,2084	-	-	2
 	-0,010	0,00119	0,0206	-	-	3
-27,4	-4,499	1,09986	0,061	-78,784	0,092	Total
 	-4,144	1,08500	-0,1686	-	-	1
 	-0,344	0,01365	0,2090	-	-	2
 	-0,011	0,00121	0,0208	-	-	3
-27,2	-4,501	1,09519	0,063	-78,163	0,092	Total
 	-4,143	1,08005	-0,1691	-	-	1
 	-0,347	0,01361	0,2096	-	-	2
 	-0,011	0,00153	0,0225	-	-	3
-27,0	-4,502	1,07149	0,063	-77,543	0,093	Total
 	-4,141	1,05637	-0,1696	-	-	1
 	-0,350	0,01357	0,2103	-	-	2
 	-0,011	0,00155	0,0226	-	-	3
-26,8	-4,504	1,06664	0,064	-76,924	0,093	Total
