"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.728608377,      -1.766037612,      -1.908588518,       2.733360525
          0,           0,           1,      -2.915227659,     -0.6999419982,     -0.8704273981,        2.54765604
          0,           0,           2,      -2.977849923,      -0.572202704,     -0.7444866969,       2.485043318
          0,           0,           3,      -3.035655595,     -0.5163714227,     -0.6905652747,       2.427435165
          0,           0,           4,      -3.063612831,     -0.5084025389,     -0.6842300863,       2.399540124
          0,           0,           5,      -3.059744332,     -0.5339341945,     -0.7109143801,       2.403152109
          0,           0,           6,      -3.045851448,     -0.5791391117,      -0.756619136,       2.416696134
          0,           0,           7,      -3.040946421,       -0.62509699,     -0.8025430113,       2.421326543
          0,           0,           8,      -3.051111853,     -0.6521793127,     -0.8294762046,       2.411011867
          0,           0,           9,      -3.073472473,     -0.6557855056,     -0.8330626196,       2.388663375
          0,           0,          10,      -3.100143792,     -0.6486584409,      -0.825958595,       2.362176733
          0,           0,          11,      -3.121973602,     -0.6448098959,     -0.8220502943,       2.340617421
          0,           0,          12,      -3.133806619,     -0.6503019393,      -0.827446588,       2.328954316
          0,           0,          13,       -3.13740819,     -0.6643669981,     -0.8415019349,        2.32530683
          0,           0,          14,      -3.138433272,     -0.6824179233,     -0.8597096797,       2.324068393
          0,           0,          15,      -3.141674082,     -0.6989199971,     -0.8764963992,       2.320572377
          0,           0,          16,      -3.148861279,     -0.7102850003,     -0.8881212567,       2.313196397
          0,           0,          17,      -3.159016999,     -0.7164500263,     -0.8943956379,       2.302968119
          0,           0,          18,      -3.169784313,     -0.7198938473,     -0.8978014585,       2.292240751
          0,           0,          19,      -3.178908719,     -0.7233853572,     -0.9011882871,        2.28321836
          0,           0,          20,      -3.185388877,     -0.7284101781,     -0.9061096197,       2.276841414
          0,           0,          21,       -3.18969346,      -0.734862183,     -0.9125000732,        2.27260058
          0,           0,          22,       -3.19305973,     -0.7416826244,     -0.9192866716,       2.269252106
          0,           0,          23,      -3.196545983,     -0.7476910795,     -0.9252532377,        2.26575485
          0,           0,          24,       -3.20054861,     -0.7522642163,     -0.9297251435,       2.261734789
          0,           0,          25,      -3.204800808,     -0.7554644648,     -0.9327403918,       2.257473224
          0,           0,          26,      -3.208731272,     -0.7577857367,     -0.9347804894,       2.253545405
          0,           0,          27,      -3.211826469,     -0.7596999279,     -0.9363199664,        2.25045988
          0,           0,          28,       -3.21387198,     -0.7613993108,     -0.9375420783,       2.248422199
          0,           0,          29,       -3.21493129,     -0.7627428816,     -0.9382947986,       2.247362505
          0,           0,          30,      -3.215204916,     -0.7634324965,     -0.9382564317,       2.247078428
          0,           0,          31,      -3.214842272,     -0.7631928154,     -0.9371370659,       2.247422978
          0,           0,          32,      -3.213880082,      -0.761922286,     -0.9348241268,       2.248362847
          0,           0,          33,      -3.212259731,     -0.7596918804,     -0.9313970628,        2.24995966
          0,           0,          34,      -3.209933974,     -0.7566979269,     -0.9270697215,       2.252262914
          0,           0,          35,      -3.206938239,     -0.7531687924,     -0.9221028761,       2.255239614
          0,           0,          36,      -3.203436478,     -0.7493349842,     -0.9167594901,       2.258729349
          0,           0,          37,      -3.199685798,      -0.745408692,     -0.9112874391,        2.26247991
          0,           0,          38,      -3.195994528,     -0.7416114669,     -0.9059339247,       2.266187765
          0,           0,          39,      -3.192656723,       -0.73816916,     -0.9009443533,       2.269561891
          0,           0,          40,       -3.18992357,     -0.7353111411,     -0.8965546256,       2.272350591
          0,           0,          41,      -3.187974722,     -0.7332312468,     -0.8929612826,       2.274369845
          0,           0,          42,      -3.186921472,     -0.7320675387,     -0.8903001216,       2.275500561
          0,           0,          43,      -3.186797099,     -0.7318700964,     -0.8886226533,       2.275699838
          0,           0,          44,      -3.187566144,     -0.7326016157,      -0.887896421,       2.274993885
          0,           0,          45,      -3.189125902,     -0.7341414855,      -0.888012173,       2.273477768
          0,           0,          46,      -3.191322364,     -0.7363115932,     -0.8888052084,       2.271301054
          0,           0,          47,      -3.193967132,     -0.7388996399,     -0.8900797353,        2.26865137
          0,           0,          48,       -3.19687289,     -0.7416994262,     -0.8916393812,       2.265718688
          0,           0,          49,      -3.199878843,     -0.7445371648,     -0.8933096044,       2.262668924
          0,           0,          50,      -3.202868223,       -0.74728746,     -0.8949526544,       2.259625796
          0,           0,          51,      -3.205775137,     -0.7498798143,     -0.8964761099,       2.256662658
          0,           0,          52,      -3.208580155,     -0.7522959838,     -0.8978341016,       2.253805548
          0,           0,          53,       -3.21129673,     -0.7545596474,     -0.8990224732,       2.251045914
          0,           0,          54,      -3.213952661,     -0.7567212545,     -0.9000692968,       2.248358835
          0,           0,          55,      -3.216573435,     -0.7588420701,      -0.901023828,       2.245719579
          0,           0,          56,      -3.219170353,     -0.7609803576,     -0.9019445174,       2.243116005
          0,           0,          57,      -3.221735612,      -0.763181316,     -0.9028894763,       2.240554057
          0,           0,          58,      -3.224243444,     -0.7654719852,     -0.9039103892,       2.238057137
          0,           0,          59,      -3.226656566,     -0.7678622624,     -0.9050496684,        2.23566028
          0,           0,          60,      -3.228934647,     -0.7703483524,     -0.9063396191,       2.233401928
          0,           0,          61,      -3.231042071,     -0.7729166297,     -0.9078029794,       2.231316307
          0,           0,          62,      -3.232954764,     -0.7755485745,     -0.9094536151,       2.229426558
          0,           0,          63,      -3.234663909,     -0.7782239987,     -0.9112966406,       2.227740867
          0,           0,          64,      -3.236176694,     -0.7809221855,     -0.9133280229,       2.226251589
          0,           0,          65,      -3.237514798,     -0.7836226978,     -0.9155336008,       2.224936636
          0,           0,          66,      -3.238711051,     -0.7863046722,     -0.9178884833,       2.223762697
          0,           0,          67,      -3.239805016,     -0.7889462115,     -0.9203572597,       2.222689712
          0,           0,          68,       -3.24083918,     -0.7915247766,     -0.9228948903,        2.22167475
          0,           0,          69,       -3.24185472,     -0.7940179524,     -0.9254501966,       2.220676309
          0,           0,          70,      -3.242888327,     -0.7964047307,     -0.9279697122,        2.21965759
          0,           0,          71,      -3.243970157,     -0.7986678065,     -0.9304025192,       2.218588464
          0,           0,          72,      -3.245122319,      -0.800795293,     -0.9327052057,       2.217446972
          0,           0,          73,      -3.246357867,     -0.8027817529,     -0.9348459846,       2.216220313
          0,           0,          74,      -3.247681116,     -0.8046292726,     -0.9368076609,       2.214904408
          0,           0,          75,      -3.249087847,     -0.8063466856,     -0.9385885143,       2.213503671
          0,           0,          76,      -3.250566485,     -0.8079483079,     -0.9402014016,       2.212029808
          0,           0,          77,      -3.252100032,     -0.8094522234,     -0.9416711221,       2.210499882
          0,           0,          78,      -3.253668017,     -0.8108777621,     -0.9430305278,       2.208934402
          0,           0,          79,      -3.255249054,     -0.8122435444,     -0.9443161248,       2.207354739
          0,           0,          80,      -3.256823143,      -0.813565749,     -0.9455637475,       2.205780874
          0,           0,          81,      -3.258373553,     -0.8148568147,     -0.9468049179,       2.204229526
          0,           0,          82,        -3.2598881,      -0.816124989,      -0.948064412,       2.202712834
          0,           0,          83,      -3.261359715,     -0.8173746077,     -0.9493590579,       2.201237812
          0,           0,          84,      -3.262786105,     -0.8186065931,     -0.9506976538,       2.199806687
          0,           0,          85,      -3.264168948,     -0.8198195489,     -0.9520818889,       2.198417723
          0,           0,          86,       -3.26551267,     -0.8210110055,     -0.9535079443,       2.197066422
          0,           0,          87,      -3.266822806,     -0.8221781116,     -0.9549682578,       2.195747218
          0,           0,          88,      -3.268104924,     -0.8233188308,     -0.9564535291,       2.194454586
          0,           0,          89,      -3.269363533,     -0.8244323099,     -0.9579542966,       2.193184108
          0,           0,          90,      -3.270601422,     -0.8255190305,     -0.9594620144,       2.191933188
          0,           0,          91,      -3.271819638,     -0.8265809392,     -0.9609698723,       2.190701054
          0,           0,          92,      -3.273017577,     -0.8276210238,     -0.9624729262,       2.189488636
          0,           0,          93,      -3.274193512,     -0.8286429802,     -0.9639679582,        2.18829803
          0,           0,          94,      -3.275345131,     -0.8296506891,      -0.965452996,        2.18713191
          0,           0,          95,      -3.276470241,     -0.8306479121,     -0.9669267699,       2.185992806
          0,           0,          96,      -3.277567178,     -0.8316378532,     -0.9683881911,       2.184882681
          0,           0,          97,      -3.278635318,     -0.8326231665,      -0.969836003,       2.183802393
          0,           0,          98,      -3.279675151,     -0.8336058279,     -0.9712685296,       2.182751611
          0,           0,          99,      -3.280688214,     -0.8345870952,      -0.972683706,       2.181728883
          0,           0,         100,      -3.281676867,     -0.8355676032,     -0.9740792097,        2.18073189
          0,           0,         101,      -3.282643957,     -0.8365474468,     -0.9754526018,        2.17975777
          0,           0,         102,      -3.283592558,     -0.8375263505,     -0.9768017237,       2.178803397
          0,           0,         103,      -3.284525503,     -0.8385035942,     -0.9781248473,        2.17786588
          0,           0,         104,      -3.285445289,     -0.8394782161,     -0.9794209205,       2.176942659
          0,           0,         105,      -3.286353881,     -0.8404489183,     -0.9806896045,       2.176031717
          0,           0,         106,      -3.287252747,     -0.8414141251,     -0.9819311828,       2.175131545
          0,           0,         107,      -3.288143002,     -0.8423720749,     -0.9831463384,       2.174240992
          0,           0,         108,      -3.289025548,     -0.8433206974,     -0.9843358739,        2.17335914
          0,           0,         109,      -3.289901386,     -0.8442577888,     -0.9855004149,       2.172484969
          0,           0,         110,       -3.29077175,     -0.8451809504,     -0.9866400605,       2.171617212
          0,           0,         111,      -3.291638293,     -0.8460876288,     -0.9877541339,       2.170754172
          0,           0,         112,      -3.292503275,     -0.8469752914,     -0.9888409717,       2.169893521
          0,           0,         113,       -3.29336952,     -0.8478414183,     -0.9898978651,       2.169032337
          0,           0,         114,      -3.294240383,     -0.8486836547,     -0.9909211783,       2.168167135
          0,           0,         115,      -3.295119554,     -0.8494997917,     -0.9919064247,       2.167294067
          0,           0,         116,      -3.296010966,     -0.8502880634,     -0.9928485855,       2.166409019
          0,           0,         117,       -3.29691843,     -0.8510469831,     -0.9937425602,       2.165507985
          0,           0,         118,      -3.297845483,     -0.8517756622,     -0.9945835777,       2.164587227
